vh03s1  1,861,634
vh07g1  264,711
vh96p1  317,675
vh94g1  443,020
vh04g1  7,777,895
vh04pp1     1,131,007
vh08p1  5,444,679
vh95p1  1,268
vh92p1  4,727
vh13g1  548,219
vh97g1  35,951
vh11g1  202,175
vh10s2  50,529
vh11s2  204
vh00g1  5,403,822
vh12p1  4,924,398
vh92g1  79,172
vh05s1  1,919,950
vh12g1  11,939,434
vh13s2  28,224
vh94p1  144,440
vh90p1  2,509
vh14p1  4,339,217
vh01s1  276
vh96g1  1,288,607
vh08g1  10,569,361
vh03g1  5,433
vh13s1  145,816
vh01g1  4,175
vh09s2  11
vh10p1  4,766,598
vh11s3  253
vh11s1  46,769
vh09g1  35,772
vh12s1  24,009
vh90g1  34,648
vh08pp1     6,850,041
vh98p1  888,360
vh09s1  2,179,613
vh02p1  2,972,060
vh06p1  3,812,380
vh00p1  3,725,694
vh02g1  4,510,889
vh05g1  161,345
vh04p1  4,035,543
vh10s1  25,048
vh06g1  6,443,032
vh00pp1     233,109
vh98g1  1,283,634
vh13s3  2,115
vh14g1  7,292,822
vh10g1  8,700,708
